,打率,得点,安打,二塁打,三塁打,本塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,長打率,出塁率
PC1,0.2290094994030189,0.26451889764093023,0.23050615883076048,0.24781051530334097,-0.12733425027865902,0.34058416138142744,0.35868049059244306,-0.11142918806351212,-0.12667707162266834,-0.2590560831064702,0.15169131401859975,0.2523089934584911,0.2249989466591736,0.08508891877584043,0.04123845896094554,0.1632857735700113,0.37865160309473134,0.3005491009632734
PC2,0.2836507322581669,0.32371001278758493,0.31626444001620696,0.1694373266935681,0.3804406726981369,-0.13701295177576972,-0.12989724235415961,0.40713251077068885,0.38004187038958437,0.13712077843552034,-0.12059113972692306,0.03549524011615048,-0.10951469677795236,0.20136823842283322,-0.11124541160395707,-0.2375436493626929,0.015643575742132536,0.19813658386774588
PC3,-0.3309834859426219,0.12240071249150969,-0.2752997675831358,-0.10499218036191088,-0.028576823568694117,0.27868811655811426,0.12192979772994003,0.22939594026941665,0.25157557093454774,0.009312483232183736,-0.1995543687852273,0.17716324015282348,0.08344377715406101,0.07952090333132236,0.6161138192177549,-0.30768616567953716,0.1338795150252349,-0.05117300234198296
PC4,-0.1954679392908982,-0.0003214331299882248,-0.18663636727881575,-0.1425096775668009,-0.03333908476896617,-0.12105645839719913,0.026578553501047257,0.036679090660545186,0.09548611007808949,0.2520452804233433,0.5426954727794323,0.5914228980865621,-0.09614941812661877,0.10373066192258466,-0.1331929675479573,0.026609304477451738,-0.20279571589461848,0.3038239254024626
PC5,0.21312029423031695,-0.12093150958630734,-0.15222245831258782,-0.08704320118563522,-0.2878557382791266,-0.09015957596321679,-0.24828683346985667,0.0027552674856004397,0.013107487807696723,-0.09539303761459006,-0.2947504993134476,0.21699729692025294,0.3220160275306537,-0.4191908999432231,-0.20120774892299617,-0.4011070837089216,0.0495833077488319,0.3606672798051185
PC6,-0.024307429690251927,-0.12550836076751654,-0.16701713144364552,-0.12315933925618379,0.045030667064553685,-0.05232886738224907,-0.08096175093008666,-0.06968633453887506,-0.1843507278130855,0.07798612837744366,-0.3497203956421949,0.034504872315436766,0.3716606731941699,0.7545225616636725,-0.14291559757209324,0.10511898877774441,-0.024310326878628188,0.1461266958358584
PC7,0.08506567553039394,-0.0917230881034696,0.18026566115427892,-0.4510511671888482,0.20781529618387432,0.08155823297591636,0.12110349820116052,0.33754504209009106,0.058808304531605515,0.1335972686943055,0.25200040429244314,-0.12924547076408538,0.6237924107043141,-0.19050900151607741,-0.0054169685189847765,0.15820845546726256,-0.014182647100370841,-0.13334124062404437
PC8,-0.24143455013531676,-0.20015429954245806,-0.01373623996519125,0.39315089639174133,0.24596036763499696,-0.2483498361753756,-0.10985757585926148,0.20282614976892357,0.09378455781967726,-0.5749838141814408,-0.03392230433724791,0.23392249634392873,0.22803899479540063,-0.08094416951571266,0.0834429411788745,0.2587372684376228,-0.20586832178789727,-0.03734209606042829
PC9,-0.06350372046960594,-0.009585759201064078,0.09395723179604482,0.6030581617325625,-0.30230733898706463,-0.12603320750461788,-0.046642119872652925,0.1183260836017971,-0.1389508836539981,0.5804919769206139,0.027079508412526494,-0.01888802461527367,0.307539987954333,-0.05426344511394342,0.16560047913863626,0.01969719850457354,-0.07568386623980036,-0.10716522140742175
PC10,-0.06252974212937235,0.17270458504925823,0.07622453820435252,-0.1589904546742096,-0.020409946777701776,0.07292078265543378,-0.0478906663166865,-0.03859698252516431,0.1692377813180949,0.2565983624943242,-0.4991762278297016,0.2392696694504834,-0.11885728349409838,-0.263613352703654,0.01831427221543023,0.6540529825409648,-0.03198368297008707,0.10947150228616163
PC11,0.06768170787062565,0.046697569123603656,-0.16899363324702715,0.036093300406058126,0.6545581541159812,-0.0776887380627775,-0.002951169787299564,-0.12243008749933756,-0.567228549529231,0.1857041099221909,-0.05254976627183646,0.11859055010027879,-0.02084050352139992,-0.22496165334356033,0.22617317759687636,-0.08535101508851989,0.10198411372867625,0.14476125955636623
PC12,0.2748886158502313,-0.5145904191676759,-0.1668453581637072,0.14618333383696472,0.19161468947868524,-0.025433166619761742,0.04291970491133119,-0.34910121219131446,0.5149051338272104,0.16292630916339518,0.09778573357335404,-0.10425771026612934,0.0333753104882606,0.010537080312460917,0.20445011807988164,0.11244053196867371,0.2329813556999893,0.16521876317613787
PC13,0.38768273325822794,-0.12850856220107268,0.07647690993619148,-0.18861520242720115,-0.2808716632472705,-0.20966470939324394,-0.2042200363351027,0.2988971148238146,-0.22580425051433237,-0.11786056312337599,0.10554156648771006,-0.0692987769130983,-0.199602751726263,0.11775287097508483,0.5441301437191473,0.19417499255062745,-0.09168871807460588,0.24729409931784738
PC14,0.0009589697816005634,-0.36266762414519793,-0.3012902877364954,0.1322423104640686,-0.021984088058013503,0.16078567021691836,0.2840987363755336,0.6002520219890685,-0.13976916380643684,0.06618652029377627,-0.09335650159100277,-0.05266025365163816,-0.2597510448228188,-0.03919748473254012,-0.31233152176978185,0.10678461638490708,0.27376022210231044,0.06743322929393807
PC15,-0.018370454256406387,-0.3990675625675467,0.4969146969319366,-0.08514965060924809,-0.0031151140035912475,-0.09615309979819489,0.5389295617674187,-0.07391381945137848,-0.06540053068270045,0.04586383799331286,-0.2570687773393371,0.22279138312035823,-0.10574647464233076,0.01282029223958297,0.07652228131803852,-0.23961527400872204,-0.2903452395079819,0.007087200010954793
PC16,-0.1879966139897441,-0.35554368961891003,0.42388370147608756,-0.01341848686330796,0.05870377964455667,0.42746402827806707,-0.5676150088539793,0.01856146440956997,-0.10522999326619009,0.05073566276048844,0.06508411737311705,0.21900652997126535,-0.09553964786043645,0.05843257167149926,-0.010559146534856526,-0.0543787588082336,0.2491657814271888,-0.0783834896685661
PC17,0.536932586802921,-0.018329644311309196,-0.24065446663516157,0.11246298245491046,0.052765078732107756,0.4541157741327682,-0.04704278287192354,0.010760085222803332,-0.0017775598852050741,-0.0066267240795369374,-0.02775447738480471,0.2731376231380722,-0.006366545302129446,0.03558762932849675,-0.01662291262145084,-0.005806226705656125,-0.4658134007042021,-0.36803548541166786
PC18,0.21316267384676724,0.021464059318456376,-0.017167644175621527,-0.11409417691341925,-0.07726140692303908,-0.44477424971967516,0.0195753095629407,0.0016779079844142439,-0.001120653593970297,-0.0002713413030604086,-0.03303421583168722,0.4145965474592204,-0.017635872307422272,0.06207621460731476,-0.010029525926281,0.0024656536968166096,0.4832663664106674,-0.5707967018696906
